2023-05-20 19:31:27,1 37 0.71
2023-05-20 19:31:27,2 35 0.63
2023-05-20 19:31:27,3 42 0.92
2023-05-20 19:31:32,1 41 0.88
2023-05-20 19:31:32,2 25 0.21
2023-05-20 19:31:32,3 28 0.33
2023-05-20 19:31:37,1 31 0.46
2023-05-20 19:31:37,2 25 0.21
2023-05-20 19:31:37,3 25 0.21
2023-05-20 19:31:42,1 29 0.38
2023-05-20 19:31:42,2 30 0.42
2023-05-20 19:31:42,3 28 0.33
2023-05-20 19:31:47,1 36 0.67
2023-05-20 19:31:47,2 28 0.33
2023-05-20 19:31:47,3 41 0.88
2023-05-20 19:31:52,1 34 0.58
2023-05-20 19:31:52,2 35 0.63
2023-05-20 19:31:52,3 28 0.33
